ID;Strain;RT_s;Compound;Clasificacion;BioTr_label;BioTr_count;MW;LogP;Silicos_class;GI_abs;BBB;Fold_change;p_value;Significance;Mutagenicity;pNOEC;NOEC;NOEC_num;cat;fqs_sol;fqs_gi;fqs_bbb;fqs_pers;fqs_noec;fqs_cin;FQS
764;StrainB;424.682;Novobiocic acid;Otro;Estabilidad Máxima;0;395.41;-4.34;Moderately soluble;High;No;1.466578715919085;0.0012026450067356;Significant Increase;NON-Mutagenic;-2141.0;138348.0;138348.0;OTHER;5;10;10;10;10;10;55
765;StrainB;84.5;O-Ureido-L-serine;Otro;Estabilidad Máxima;0;163.13;2.36;Soluble;Low;No;1.573064155545017;0.0067212511321232;Significant Increase;NON-Mutagenic;-1993.0;98461.0;98461.0;OTHER;10;3;10;10;10;10;53
766;StrainD;266.7;(2R,3R)-3-Methylornithinyl-N6-lysine;Otro;Estabilidad Máxima;0;274.36;1.48;Soluble;Low;No;1.209717607973422;0.0423029657150259;Significant Increase;NON-Mutagenic;-2835.0;683773.0;683773.0;OTHER;10;3;10;10;10;10;53
767;StrainC;288.069;Dihomomethionine;Otro;Estabilidad Máxima;0;177.26;0.38;Soluble;High;No;3.931051587301587;0.0282893554956428;Significant Increase;NON-Mutagenic;0.308;0.492;0.492;OTHER;10;10;10;10;2;10;52
768;StrainC;179.694;Threoninyl-Hydroxyproline;Osmoprotectores y tolerancia a estrés abiotico;Estabilidad Máxima;0;232.23;1.84;Soluble;Low;No;2.855285961871751;0.0281417697231963;Significant Increase;NON-Mutagenic;-2059.0;114475.0;114475.0;OSM;10;3;10;10;10;10;53
769;StrainB;179.694;Threoninyl-Hydroxyproline;Osmoprotectores y tolerancia a estrés abiotico;Estabilidad Máxima;0;232.23;1.84;Soluble;Low;No;1.724436741767764;0.0064958242011813;Significant Increase;NON-Mutagenic;-2059.0;114475.0;114475.0;OSM;10;3;10;10;10;10;53
770;StrainC;107.156;Serinyl-Hydroxyproline;Osmoprotectores y tolerancia a estrés abiotico;Estabilidad Máxima;0;218.21;2.2;Soluble;Low;No;5.454912516823687;0.006732129292096;Significant Increase;NON-Mutagenic;-2239.0;173.32;173.32;OSM;10;3;10;10;10;10;53
771;StrainB;107.156;Serinyl-Hydroxyproline;Osmoprotectores y tolerancia a estrés abiotico;Estabilidad Máxima;0;218.21;2.2;Soluble;Low;No;2.314939434724092;0.0479919416436068;Significant Increase;NON-Mutagenic;-2239.0;173.32;173.32;OSM;10;3;10;10;10;10;53
772;StrainB;368.477;N-[(7,8-Dihydropterin-6-yl)methyl]-4-(beta-D-ribofuranosyl)aniline 5'-phosphate;Otro;Estabilidad Máxima;0;482.38;-1.79;Soluble;Low;No;1.590257879656161;0.0291999437940047;Significant Increase;NON-Mutagenic;-2321.0;209209.0;209209.0;OTHER;10;3;10;10;10;10;53
773;StrainC;278.9;Calystegine A6;Otro;Estabilidad Máxima;0;159.18;0.09;Soluble;High;No;7.085284280936455;0.0135028786178847;Significant Increase;NON-Mutagenic;-1043.0;11033.0;11033.0;OTHER;10;10;10;10;10;10;60
774;StrainC;330.8;(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoic acid;Otro;Estabilidad Máxima;0;198.17;-0.34;Soluble;High;No;7.055062166962701;5.361313134333998e-05;Significant Increase;Mutagenic;-0.434;2715.0;2715.0;OTHER;10;10;10;10;10;10;60
775;StrainB;169.0;Dapdiamide B;Otro;Estabilidad Máxima;0;314.34;1.8;Soluble;Low;No;3.39051724137931;0.0482501694749962;Significant Increase;NON-Mutagenic;-2314.0;206179.0;206179.0;OTHER;10;3;10;10;10;10;53
